target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
2967,GraceG,F,1994,Manchester,KIT,gear,833.738,833.948,G,R,694.4,1853.7,3279.2
2968,GraceG,F,1994,Manchester,DRESS,get,835.703,835.763,G,T,722.1,2070.6,2833
2969,GraceG,F,1994,Manchester,NORTH,cos,841.132,841.162,K,S,776.3,1754.3,3061.1
2970,GraceG,F,1994,Manchester,PRICE,i'll,841.202,841.282,S,L,622.9,1524.3,3018.7
2971,GraceG,F,1994,Manchester,STRUT,stuff,842.683,842.822,T,F,751.7,1767.8,2862.1
2972,GraceG,F,1994,Manchester,DRESS,well,854.918,854.948,W,L,431.1,1007.9,1800.8
2973,GraceG,F,1994,Manchester,KIT,in,855.628,855.678,S,N,533.6,2222.2,3537.5
2974,GraceG,F,1994,Manchester,LOT,august,855.707,855.938,N,G,971.4,1511.2,2961.4
2975,GraceG,F,1994,Manchester,LOT,kilimanjaro,856.928,857.318,JH,R,794.6,1491.3,2772.4
2976,GraceG,F,1994,Manchester,FLEECE,three,858.053,858.182,R,D,537,2686.7,3062.6
2977,GraceG,F,1994,Manchester,FACE,days,858.202,858.352,D,Z,624,2722.8,3417.7
2978,GraceG,F,1994,Manchester,FACE,birthday,859.883,859.942,D,S,720.4,2139.1,4374.3
2979,GraceG,F,1994,Manchester,GOAT,so,860.043,860.083,S,AE1,736.4,1905,3167
2980,GraceG,F,1994,Manchester,LOT,august,861.473,861.633,V,G,843.2,1396.5,4269.1
2981,GraceG,F,1994,Manchester,DRESS,well,868.318,868.467,W,L,944.5,1640.8,2830.3
2982,GraceG,F,1994,Manchester,PRICE,like,871.677,871.947,L,K,971.1,1733.1,2630.8
2983,GraceG,F,1994,Manchester,FLEECE,me,873.588,873.618,M,AE1,600.9,2141.8,4516.9
2984,GraceG,F,1994,Manchester,LOT,was,875.308,875.468,W,Z,850.7,1529.7,2770.9
2985,GraceG,F,1994,Manchester,STRUT,what's,875.698,875.747,W,T,710.6,1141.8,2794.9
2986,GraceG,F,1994,Manchester,GOOSE,few,879.163,879.193,Y,W,367.1,1765.5,2496.2
2987,GraceG,F,1994,Manchester,FLEECE,weeks,879.223,879.333,W,K,415.3,2554.2,4591.7
2988,GraceG,F,1994,Manchester,FACE,basically,882.647,882.747,B,S,589.5,2276.2,2691.3
2989,GraceG,F,1994,Manchester,PRICE,my,884.818,884.848,M,M,677.9,1319,3146
2990,GraceG,F,1994,Manchester,GOAT,so,885.808,885.837,S,SP,485.4,1600.9,2944.4
2991,GraceG,F,1994,Manchester,PRICE,i'm,886.453,886.483,SP,M,779.1,1495.2,2603.4
2992,GraceG,F,1994,Manchester,KIT,did,888.402,888.463,D,D,476,2282.4,3320.8
2993,GraceG,F,1994,Manchester,GOOSE,room,890.797,890.847,R,M,447.2,1860.9,2883
2994,GraceG,F,1994,Manchester,DRESS,then,891.058,891.247,DH,N,682.7,2097.3,3052.5
2995,GraceG,F,1994,Manchester,FACE,changed,892.028,892.168,CH,N,412.6,2441.3,2578
2996,GraceG,F,1994,Manchester,KIT,minute,893.802,893.862,M,N,530.2,2001.7,2875.1
2997,GraceG,F,1994,Manchester,MOUTH,now,896.333,896.543,N,SP,887.6,1745.1,3125.8
2998,GraceG,F,1994,Manchester,DRESS,apparently,897.493,897.522,P,R,895.5,1532.3,2489.7
2999,GraceG,F,1994,Manchester,STRUT,function,903.647,903.677,F,NG,548.4,1207.3,2833.1
3000,GraceG,F,1994,Manchester,GOOSE,room,904.158,904.188,R,M,363.7,1522.1,2732.4
3001,GraceG,F,1994,Manchester,STRUT,but,904.358,904.568,B,T,775.5,1339.8,2987
3002,GraceG,F,1994,Manchester,FOOT,good,906.147,906.178,G,D,582.5,1539.5,2927.1
3003,GraceG,F,1994,Manchester,PRICE,excited,907.448,907.598,S,T,889.5,1853.4,3000.4
3004,GraceG,F,1994,Manchester,GOOSE,room,908.477,908.707,R,M,489.3,2323,3347.7
